City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,zhengjiatun,43.5064,123.5064,-5.37,40,0,3.81,CN,1675819833
352,ozu,33.5,132.55,11.77,71,9,4.11,JP,1675819263
353,sola,-13.8833,167.55,27.72,77,94,6.54,VU,1675819834
354,morant bay,17.8815,-76.4093,26.79,82,13,5.61,JM,1675819687
355,porto belo,-27.1578,-48.5531,26.97,81,13,2.87,BR,1675819834
356,burgeo,47.6167,-57.6152,-8.03,81,100,8.88,CA,1675819835
357,vila do maio,15.1333,-23.2167,20.44,66,15,8.15,CV,1675819835
358,guerrero negro,27.9769,-114.0611,18.27,30,0,2.89,MX,1675819836
359,charters towers,-20.1,146.2667,31.02,50,96,4.66,AU,1675819836
360,cayenne,4.9333,-52.3333,25.02,94,75,0.0,GF,1675819593
361,macklin,52.3334,-109.9348,-2.81,97,97,0.47,CA,1675819837
362,adre,13.4667,22.2,17.67,26,47,9.08,TD,1675819837
363,nelson bay,-32.7167,152.15,27.28,64,60,1.34,AU,1675819838
364,ust-kan,50.9276,84.761,-18.22,97,53,1.6,RU,1675819838
365,sal rei,16.1833,-22.9167,19.73,65,4,8.86,CV,1675819838
366,dong hoi,17.4833,106.6,23.7,89,66,1.06,VN,1675819839
367,gravelbourg,49.8834,-106.5512,0.15,89,100,3.17,CA,1675819839
368,dakar,14.6937,-17.4441,19.49,76,96,9.06,SN,1675819832
369,eagle pass,28.7091,-100.4995,16.47,73,100,3.55,US,1675819794
370,rockland,41.1668,-74.0496,4.69,78,100,1.76,US,1675819840
371,baykit,61.67,96.37,-15.63,98,100,0.75,RU,1675819258
372,rio grande,-32.035,-52.0986,23.34,72,0,6.33,BR,1675819826
373,sokoto,13.0609,5.239,21.33,17,70,4.69,NG,1675819841
374,kabalo,-6.05,26.9167,19.89,97,100,1.21,CD,1675819842
375,portland,45.5234,-122.6762,10.01,88,75,2.57,US,1675819834
376,vardo,70.3705,31.1107,-2.01,86,8,9.26,NO,1675819842
377,formosa do rio preto,-11.0483,-45.1931,23.33,68,78,1.15,BR,1675819843
378,mocuba,-16.8392,36.9856,21.88,95,99,1.61,MZ,1675819843
379,lang son,21.8333,106.7333,18.75,95,100,1.77,VN,1675819844
380,gigmoto,13.7796,124.39,27.52,74,87,6.18,PH,1675819844
